OID|Version|Source|Type|Definition|MUType|MeasureTitle|QDM|NQF|CMSId
2.16.840.1.113883.3.464.1003.102.12.1012|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.102.11.1035:Acute Tonsillitis),(2.16.840.1.113883.3.464.1003.102.11.1036:Acute Tonsillitis),(2.16.840.1.113883.3.464.1003.102.11.1034:Acute Tonsillitis)|CY 2014 EP|Appropriate Testing for Children with Pharyngitis|Condition/Diagnosis/Problem|0002|CMS146v3|
2.16.840.1.113883.3.464.1003.102.12.1017|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.102.11.1041:Infections of the Pharynx, Larynx, Tonsils and Adenoids),(2.16.840.1.113883.3.464.1003.102.11.1045:Pneumonia),(2.16.840.1.113883.3.464.1003.110.11.1006:Intestinal Infections),(2.16.840.1.113883.3.464.1003.112.11.1010:Inflammatory Diseases of Female Reproductive Organs),(2.16.840.1.113883.3.464.1003.110.11.1014:Lyme Disease and other Arthropod-Borne Diseases),(2.16.840.1.113883.3.464.1003.102.11.1031:Acute Pharyngitis),(2.16.840.1.113883.3.464.1003.112.11.1007:Chlamydia),(2.16.840.1.113883.3.464.1003.102.11.1032:Acute Pharyngitis),(2.16.840.1.113883.3.464.1003.113.11.1011:Cellulitis, Mastoiditis, and other Bone Infections),(2.16.840.1.113883.3.464.1003.113.11.1010:Cellulitis, Mastoiditis, and other Bone Infections),(2.16.840.1.113883.3.464.1003.102.11.1028:Acute Sinusitis),(2.16.840.1.113883.3.464.1003.112.11.1003:Gonococcal Infections and Venereal Diseases),(2.16.840.1.113883.3.464.1003.112.11.1016:Cystitis or Urinary Tract Infection),(2.16.840.1.113883.3.464.1003.110.11.1012:Unspecified Bacterial Infection),(2.16.840.1.113883.3.464.1003.110.11.1015:Lyme Disease and other Arthropod-Borne Diseases),(2.16.840.1.113883.3.464.1003.112.11.1012:Inflammatory Diseases of Female Reproductive Organs),(2.16.840.1.113883.3.464.1003.112.11.1018:Cystitis or Urinary Tract Infection),(2.16.840.1.113883.3.464.1003.119.11.1003:Otitis Media),(2.16.840.1.113883.3.464.1003.102.11.1039:Chronic Sinusitis),(2.16.840.1.113883.3.464.1003.113.11.1009:Cellulitis, Mastoiditis, and other Bone Infections),(2.16.840.1.113883.3.464.1003.102.11.1035:Acute Tonsillitis),(2.16.840.1.113883.3.464.1003.102.11.1038:Chronic Sinusitis),(2.16.840.1.113883.3.464.1003.119.11.1002:Otitis Media),(2.16.840.1.113883.3.464.1003.102.11.1043:Pneumonia),(2.16.840.1.113883.3.464.1003.112.11.1013:Infections of the Kidney),(2.16.840.1.113883.3.464.1003.116.11.1023:Impetigo),(2.16.840.1.113883.3.464.1003.116.11.1025:Skin Staph Infections),(2.16.840.1.113883.3.464.1003.116.11.1021:Impetigo),(2.16.840.1.113883.3.464.1003.112.11.1020:Prostatitis),(2.16.840.1.113883.3.464.1003.102.11.1044:Pneumonia),(2.16.840.1.113883.3.464.1003.102.11.1029:Acute Sinusitis),(2.16.840.1.113883.3.464.1003.199.11.1006:Acute Lymphadenitis),(2.16.840.1.113883.3.464.1003.110.11.1007:Pertussis),(2.16.840.1.113883.3.464.1003.102.11.1037:Chronic Sinusitis),(2.16.840.1.113883.3.464.1003.112.11.1011:Inflammatory Diseases of Female Reproductive Organs),(2.16.840.1.113883.3.464.1003.116.11.1024:Skin Staph Infections),(2.16.840.1.113883.3.464.1003.116.11.1029:Acne),(2.16.840.1.113883.3.464.1003.110.11.1008:Pertussis),(2.16.840.1.113883.3.464.1003.102.11.1040:Infections of the Pharynx, Larynx, Tonsils and Adenoids),(2.16.840.1.113883.3.464.1003.112.11.1004:Syphilis),(2.16.840.1.113883.3.464.1003.112.11.1014:Infections of the Kidney),(2.16.840.1.113883.3.464.1003.116.11.1027:Acne),(2.16.840.1.113883.3.464.1003.116.11.1028:Acne),(2.16.840.1.113883.3.464.1003.102.11.1042:Infections of the Pharynx, Larynx, Tonsils and Adenoids),(2.16.840.1.113883.3.464.1003.112.11.1001:Gonococcal Infections and Venereal Diseases),(2.16.840.1.113883.3.464.1003.112.11.1008:Chlamydia),(2.16.840.1.113883.3.464.1003.112.11.1009:Chlamydia),(2.16.840.1.113883.3.464.1003.116.11.1026:Skin Staph Infections),(2.16.840.1.113883.3.464.1003.110.11.1011:Unspecified Bacterial Infection),(2.16.840.1.113883.3.464.1003.110.11.1009:Pertussis),(2.16.840.1.113883.3.464.1003.119.11.1001:Otitis Media),(2.16.840.1.113883.3.464.1003.112.11.1006:Syphilis),(2.16.840.1.113883.3.464.1003.110.11.1013:Lyme Disease and other Arthropod-Borne Diseases),(2.16.840.1.113883.3.464.1003.116.11.1022:Impetigo),(2.16.840.1.113883.3.464.1003.102.11.1030:Acute Sinusitis),(2.16.840.1.113883.3.464.1003.112.11.1002:Gonococcal Infections and Venereal Diseases),(2.16.840.1.113883.3.464.1003.112.11.1017:Cystitis or Urinary Tract Infection),(2.16.840.1.113883.3.464.1003.110.11.1005:Intestinal Infections),(2.16.840.1.113883.3.464.1003.112.11.1015:Infections of the Kidney),(2.16.840.1.113883.3.464.1003.110.11.1004:Intestinal Infections),(2.16.840.1.113883.3.464.1003.102.11.1033:Acute Pharyngitis),(2.16.840.1.113883.3.464.1003.102.11.1034:Acute Tonsillitis),(2.16.840.1.113883.3.464.1003.199.11.1004:Acute Lymphadenitis),(2.16.840.1.113883.3.464.1003.112.11.1021:Prostatitis),(2.16.840.1.113883.3.464.1003.112.11.1005:Syphilis),(2.16.840.1.113883.3.464.1003.199.11.1005:Acute Lymphadenitis),(2.16.840.1.113883.3.464.1003.112.11.1019:Prostatitis),(2.16.840.1.113883.3.464.1003.102.11.1036:Acute Tonsillitis)|CY 2014 EP|Appropriate Treatment for Children with Upper Respiratory Infection (URI)|Condition/Diagnosis/Problem|0069|CMS154v3|
2.16.840.1.113883.3.464.1003.102.12.1018|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.102.11.1047:Acute Respiratory Failure),(2.16.840.1.113883.3.464.1003.102.11.1048:Acute Respiratory Failure),(2.16.840.1.113883.3.464.1003.102.11.1046:Acute Respiratory Failure)|CY 2014 EP|Use of Appropriate Medications for Asthma|Condition/Diagnosis/Problem|0036|CMS126v3|
2.16.840.1.113883.3.464.1003.102.12.1022|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.102.11.1059:Upper Respiratory Infection),(2.16.840.1.113883.3.464.1003.102.11.1058:Upper Respiratory Infection),(2.16.840.1.113883.3.464.1003.102.11.1060:Upper Respiratory Infection)|CY 2014 EP|Appropriate Treatment for Children with Upper Respiratory Infection (URI)|Condition/Diagnosis/Problem|0069|CMS154v3|
2.16.840.1.113883.3.464.1003.102.12.1023|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.102.11.1062:Persistent Asthma),(2.16.840.1.113883.3.464.1003.102.11.1061:Persistent Asthma)|CY 2014 EP|Use of Appropriate Medications for Asthma|Condition/Diagnosis/Problem|0036|CMS126v3|
2.16.840.1.113883.3.464.1003.103.12.1001|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.103.11.1001:Diabetes),(2.16.840.1.113883.3.464.1003.103.11.1002:Diabetes),(2.16.840.1.113883.3.464.1003.103.11.1003:Diabetes)|CY 2014 EP|Diabetes: Low Density Lipoprotein (LDL) Management|Condition/Diagnosis/Problem|0064|CMS163v3|
2.16.840.1.113883.3.464.1003.103.12.1001|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.103.11.1001:Diabetes),(2.16.840.1.113883.3.464.1003.103.11.1002:Diabetes),(2.16.840.1.113883.3.464.1003.103.11.1003:Diabetes)|CY 2014 EP|Diabetes: Hemoglobin A1c Poor Control|Condition/Diagnosis/Problem|0059|CMS122v3|
2.16.840.1.113883.3.464.1003.103.12.1001|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.103.11.1001:Diabetes),(2.16.840.1.113883.3.464.1003.103.11.1002:Diabetes),(2.16.840.1.113883.3.464.1003.103.11.1003:Diabetes)|CY 2014 EP|Diabetes: Foot Exam|Condition/Diagnosis/Problem|0056|CMS123v3|
2.16.840.1.113883.3.464.1003.103.12.1001|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.103.11.1001:Diabetes),(2.16.840.1.113883.3.464.1003.103.11.1002:Diabetes),(2.16.840.1.113883.3.464.1003.103.11.1003:Diabetes)|CY 2014 EP|Diabetes: Eye Exam|Condition/Diagnosis/Problem|0055|CMS131v3|
2.16.840.1.113883.3.464.1003.103.12.1001|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.103.11.1001:Diabetes),(2.16.840.1.113883.3.464.1003.103.11.1002:Diabetes),(2.16.840.1.113883.3.464.1003.103.11.1003:Diabetes)|CY 2014 EP|Hemoglobin A1c Test for Pediatric Patients|Condition/Diagnosis/Problem|0060|CMS148v3|
2.16.840.1.113883.3.464.1003.103.12.1001|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.103.11.1001:Diabetes),(2.16.840.1.113883.3.464.1003.103.11.1002:Diabetes),(2.16.840.1.113883.3.464.1003.103.11.1003:Diabetes)|CY 2014 EP|Diabetes: Urine Protein Screening|Condition/Diagnosis/Problem|0062|CMS134v3|
2.16.840.1.113883.3.464.1003.103.12.1012|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.101.11.1025:Hospital Inpatient Visit - Subsequent),(2.16.840.1.113883.3.464.1003.101.11.1110:Preventive Care - Initial Office Visit, 0 to 17),(2.16.840.1.113883.3.464.1003.101.11.1195:Discharge Services- Observation Care),(2.16.840.1.113883.3.464.1003.101.11.1080:Home Healthcare Services),(2.16.840.1.113883.3.464.1003.101.11.1010:Hospital Observation Care - Initial),(2.16.840.1.113883.3.464.1003.101.11.1150:Preventive Care Services - Other),(2.16.840.1.113883.3.464.1003.101.11.1206:Ophthamologic Outpatient Visit),(2.16.840.1.113883.3.464.1003.101.11.1216:Face-to-Face Interaction),(2.16.840.1.113883.3.464.1003.101.11.1045:Inpatient Consultation),(2.16.840.1.113883.3.464.1003.101.11.1040:Outpatient Consultation),(2.16.840.1.113883.3.464.1003.101.11.1055:Critical Care Management),(2.16.840.1.113883.3.464.1003.101.11.1207:Ophthamologic Outpatient Visit),(2.16.840.1.113883.3.464.1003.101.11.1035:Discharge Services - Hospital Inpatient),(2.16.840.1.113883.3.464.1003.101.11.1020:Hospital Inpatient Visit - Initial),(2.16.840.1.113883.3.464.1003.101.11.1050:Emergency Department Visit),(2.16.840.1.113883.3.464.1003.101.11.1120:Preventive Care - Established Office Visit, 0 to 17),(2.16.840.1.113883.3.464.1003.101.11.1130:Preventive Care Services-Individual Counseling),(2.16.840.1.113883.3.464.1003.101.11.1218:Emergency Department or Hospital Interaction),(2.16.840.1.113883.3.464.1003.101.11.1005:Office Visit)|CY 2014 EP|Hemoglobin A1c Test for Pediatric Patients|Encounter|0060|CMS148v3|
2.16.840.1.113883.3.464.1003.103.12.1013|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.103.11.1018:Visual Exam of Foot)|CY 2014 EP|Diabetes: Foot Exam|Physical Exam|0056|CMS123v3|
2.16.840.1.113883.3.464.1003.103.12.1014|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.103.11.1019:Sensory Exam of Foot)|CY 2014 EP|Diabetes: Foot Exam|Physical Exam|0056|CMS123v3|
2.16.840.1.113883.3.464.1003.103.12.1015|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.103.11.1020:Pulse Exam of Foot)|CY 2014 EP|Diabetes: Foot Exam|Physical Exam|0056|CMS123v3|
2.16.840.1.113883.3.464.1003.104.12.1001|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1001:Acute Myocardial Infarction),(2.16.840.1.113883.3.464.1003.104.11.1002:Acute Myocardial Infarction),(2.16.840.1.113883.3.464.1003.104.11.1003:Acute Myocardial Infarction)|CY 2014 EP|Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic|Condition/Diagnosis/Problem|0068|CMS164v3|
2.16.840.1.113883.3.464.1003.104.12.1001|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1001:Acute Myocardial Infarction),(2.16.840.1.113883.3.464.1003.104.11.1002:Acute Myocardial Infarction),(2.16.840.1.113883.3.464.1003.104.11.1003:Acute Myocardial Infarction)|CY 2014 EP|Ischemic Vascular Disease (IVD): Complete Lipid Panel and LDL Control|Condition/Diagnosis/Problem|0075|CMS182v4|
2.16.840.1.113883.3.464.1003.104.12.1002|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1005:Coronary Artery Bypass Graft),(2.16.840.1.113883.3.464.1003.104.11.1006:Coronary Artery Bypass Graft),(2.16.840.1.113883.3.464.1003.104.11.1004:Coronary Artery Bypass Graft)|CY 2014 EP|Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic|Procedure|0068|CMS164v3|
2.16.840.1.113883.3.464.1003.104.12.1002|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1005:Coronary Artery Bypass Graft),(2.16.840.1.113883.3.464.1003.104.11.1006:Coronary Artery Bypass Graft),(2.16.840.1.113883.3.464.1003.104.11.1004:Coronary Artery Bypass Graft)|CY 2014 EP|Ischemic Vascular Disease (IVD): Complete Lipid Panel and LDL Control|Procedure|0075|CMS182v4|
2.16.840.1.113883.3.464.1003.104.12.1003|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1009:Ischemic Vascular Disease),(2.16.840.1.113883.3.464.1003.104.11.1007:Ischemic Vascular Disease),(2.16.840.1.113883.3.464.1003.104.11.1008:Ischemic Vascular Disease)|CY 2014 EP|Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic|Condition/Diagnosis/Problem|0068|CMS164v3|
2.16.840.1.113883.3.464.1003.104.12.1003|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1009:Ischemic Vascular Disease),(2.16.840.1.113883.3.464.1003.104.11.1007:Ischemic Vascular Disease),(2.16.840.1.113883.3.464.1003.104.11.1008:Ischemic Vascular Disease)|CY 2014 EP|Ischemic Vascular Disease (IVD): Complete Lipid Panel and LDL Control|Condition/Diagnosis/Problem|0075|CMS182v4|
2.16.840.1.113883.3.464.1003.104.12.1010|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1026:Percutaneous Coronary Interventions),(2.16.840.1.113883.3.464.1003.104.11.1028:Percutaneous Coronary Interventions)|CY 2014 EP|Ischemic Vascular Disease (IVD): Complete Lipid Panel and LDL Control|Procedure|0075|CMS182v4|
2.16.840.1.113883.3.464.1003.104.12.1010|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1026:Percutaneous Coronary Interventions),(2.16.840.1.113883.3.464.1003.104.11.1028:Percutaneous Coronary Interventions)|CY 2014 EP|Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic|Procedure|0068|CMS164v3|
2.16.840.1.113883.3.464.1003.104.12.1011|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1030:Essential Hypertension),(2.16.840.1.113883.3.464.1003.104.11.1031:Essential Hypertension),(2.16.840.1.113883.3.464.1003.104.11.1029:Essential Hypertension)|CY 2014 EP|Controlling High Blood Pressure|Condition/Diagnosis/Problem|0018|CMS165v3|
2.16.840.1.113883.3.464.1003.104.12.1011|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1030:Essential Hypertension),(2.16.840.1.113883.3.464.1003.104.11.1031:Essential Hypertension),(2.16.840.1.113883.3.464.1003.104.11.1029:Essential Hypertension)|CY 2014 EP|Hypertension: Improvement in Blood Pressure|Condition/Diagnosis/Problem|Not Applicable|CMS65v4|
2.16.840.1.113883.3.464.1003.104.12.1012|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1032:HDL-C Laboratory Test)|CY 2014 EP|Ischemic Vascular Disease (IVD): Complete Lipid Panel and LDL Control|Laboratory Test|0075|CMS182v4|
2.16.840.1.113883.3.464.1003.104.12.1013|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1033:Total Cholesterol Laboratory Test)|CY 2014 EP|Ischemic Vascular Disease (IVD): Complete Lipid Panel and LDL Control|Laboratory Test|0075|CMS182v4|
2.16.840.1.113883.3.464.1003.104.12.1014|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1034:Triglycerides Laboratory Test)|CY 2014 EP|Ischemic Vascular Disease (IVD): Complete Lipid Panel and LDL Control|Laboratory Test|0075|CMS182v4|
2.16.840.1.113883.3.464.1003.104.12.1017|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1039:Valvular Heart Disease),(2.16.840.1.113883.3.464.1003.104.11.1040:Valvular Heart Disease),(2.16.840.1.113883.3.464.1003.104.11.1041:Valvular Heart Disease)|CY 2014 EP|ADE Prevention and Monitoring: Warfarin Time in Therapeutic Range|Condition/Diagnosis/Problem|NA|CMS179v3|
2.16.840.1.113883.3.464.1003.104.12.1018|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.104.11.1042:Computed Value INR percent TTR)|CY 2014 EP|ADE Prevention and Monitoring: Warfarin Time in Therapeutic Range|Laboratory Test|NA|CMS179v3|
2.16.840.1.113883.3.464.1003.105.12.1004|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.105.11.1011:Mental Health Diagnoses),(2.16.840.1.113883.3.464.1003.105.11.1012:Mental Health Diagnoses),(2.16.840.1.113883.3.464.1003.105.11.1010:Mental Health Diagnoses)|CY 2014 EP|ADHD: Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication|Condition/Diagnosis/Problem|0108|CMS136v4|
2.16.840.1.113883.3.464.1003.105.12.1007|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.105.11.1018:Major Depression),(2.16.840.1.113883.3.464.1003.105.11.1019:Major Depression),(2.16.840.1.113883.3.464.1003.105.11.1017:Major Depression)|CY 2014 EP|Anti-depressant Medication Management|Condition/Diagnosis/Problem|0105|CMS128v3|
2.16.840.1.113883.3.464.1003.106.12.1001|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.106.11.1001:Alcohol and Drug Dependence),(2.16.840.1.113883.3.464.1003.106.11.1002:Alcohol and Drug Dependence),(2.16.840.1.113883.3.464.1003.106.11.1003:Alcohol and Drug Dependence)|CY 2014 EP|Initiation and Engagement of Alcohol and Other Drug Dependence Treatment|Condition/Diagnosis/Problem|0004|CMS137v3|
2.16.840.1.113883.3.464.1003.106.12.1003|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.106.11.1006:IV Drug Abuse),(2.16.840.1.113883.3.464.1003.106.11.1008:IV Drug Abuse),(2.16.840.1.113883.3.464.1003.106.11.1007:IV Drug Abuse)|CY 2014 EP|Use of Imaging Studies for Low Back Pain|Condition/Diagnosis/Problem|0052|CMS166v4|
2.16.840.1.113883.3.464.1003.106.12.1004|20140701|National Committee for Quality Assurance|Grouping|(2.16.840.1.113883.3.464.1003.106.11.1011:Substance Abuse),(2.16.840.1.113883.3.464.1003.106.11.1010:Substance Abuse),(2.16.840.1.113883.3.464.1003.106.11.1009:Substance Abuse)|CY 2014 EP|ADHD: Follow-Up Care for Children Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication|Condition/Diagnosis/Problem|0108|CMS136v4|
